MPI ID Number,Risk Measure Type,Programme Type,Operator Business Name,Operator Trading Name,NZBN,Status,Effective Date,Expiry Date,Verification Agency,Is Suspended,Suspension Type,Suspension Start Date,Suspension End Date,Suspended Operations,Physical Address,Physical Town/City,Operator Local Authority,Number of Locations,Location Local Authority,Dairy ULIs,Fishing Vessel Name,Intended Use,Product/Material,Primary,Secondary Process,Market
"PH461/01","Risk Management Programme","Custom","Otoki New Zealand Limited","","9429038404856","Registered","2022-06-28","","Ministry for Primary Industries - Verification Services","No","","","","","76 Rangi Road, Takanini","Auckland","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption, Not for human or animal consumption","Animal fat, Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Poultry, Red meat, Tallow","","Boning/cutting, Drying/reduction of water activity, Drying/reduction of water activity;Extraction;Hydrolysis;Refrigeration;Thermal processing other than in-container retorting/UHT, Drying/reduction of water activity;Extraction;Refrigeration;Thermal processing other than in-container retorting/UHT, Extraction, Hydrolysis, Industrial Use, Non-refrigerated storage (processes & receives external product), Refining, Refrigerated storage (processes & receives external product), Refrigeration, Thermal processing other than in-container retorting/UHT, Transport",""
"PH461/02","Risk Management Programme","Custom","Otoki New Zealand Limited","","9429038404856","Registered","2023-03-23","","Ministry for Primary Industries - Verification Services","No","","","","","76 Rangi Road, Takanini","Auckland","Auckland Council","1","Auckland Council","S461","N/A","Human Consumption","Animal products (non-dairy), Bee products, Dairy products, Non-AP","","Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (stand-alone);Refrigerated storage (stand-alone), Refrigerated storage (processes & receives external product)",""
"PH464/01","Risk Management Programme","Custom","Sanford Limited","","9429000010856","Registered","2020-02-07","","Ministry for Primary Industries - Verification Services","No","","","","","22 Jellicoe Street, Freemans Bay","Auckland","Auckland Council","1","Timaru District Council","N/A","San Discovery","Animal Consumption, Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Crustaceans (including rock lobsters), Fish, Fish meal, Fish oil, Squid & other cephalopods","Filleting, Gutting, Heading, Tailing, Tubing;Whole, Washing, Whole","Collection;Drying/reduction of water activity;Size reduction, Industrial Use, Refrigeration, Rendering, Size reduction",""
"PH467/01","Risk Management Programme","Custom","Heinz Wattie's Limited","","9429039009975","Registered","2014-04-04","","Ministry for Primary Industries - Verification Services","No","","","","","Corner Tomoana Road and Richmond Road","Hastings","Hastings District Council","1","Hastings District Council","1","N/A","Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Butter, Dairy fat blends, Dairy products, Eggs, Fish, Milk & cream based formulations, Nutritional powders excl IF & FOF, Poultry, Red meat","","Blending/mixing, Blending/mixing;Formulation;In container retorting;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT;Transport, Blending/mixing;Formulation;Packing/repacking;Thermal processing other than in-container retorting/UHT;Transport, Formulation, In container retorting, Labelling, Non-refrigerated storage (processes & receives external product), Non-refrigerated storage (processes & receives external product);Packing/repacking;Refrigerated storage (processes & receives external product), Non-refrigerated storage (stand-alone), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT, Transport",""
"PH472/01","Risk Management Programme","Custom","Sealord Group Limited","","9429040180434","Registered","2022-12-16","","Ministry for Primary Industries - Verification Services","No","","","","","149 Vickerman Street","Nelson","Nelson City Council","1","Nelson City Council","N/A","Rehua","Animal Consumption (Feeds), Human Consumption","Animal products (non-dairy), Crustaceans (including rock lobsters), Fish, Fish meal, Fish oil, Squid & other cephalopods","Filleting;Gutting;Heading;Washing;Whole, Tubing, Whole","Boning/cutting, Collection, Non-refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product), Refrigeration, Rendering, Size reduction",""
"PH475/01","Risk Management Programme","Custom","Talley's Group Limited","","9429040188935","Registered","2020-11-18","","Ministry for Primary Industries - Verification Services","No","","","","","Ward Street, Port Motueka","Motueka","Tasman District Council","1","Nelson City Council","N/A","Amaltal Atlantis","Animal Consumption, Human Consumption","Animal products (non-dairy), Crustaceans (including rock lobsters), Fish, Fish meal, Fish oil, Squid & other cephalopods","Filleting, Gutting, Heading, Tailing, Tubing;Whole, Washing, Whole","Refrigerated storage (processes & receives external product), Refrigeration, Rendering, Size reduction",""
"PH479/01","Risk Management Programme","Custom","Comgroup NZ Limited","Franklin Foods","9429046768834","Registered","2023-02-15","","Ministry for Primary Industries - Verification Services","No","","","","","13 Adams Drive","Pukekohe","Auckland Council","1","Auckland Council","N/A","N/A","Human Consumption","Animal products (non-dairy), Bivalve molluscan shellfish, Fish, Non-AP, Poultry, Red meat","","Formulation, Formulation;Refrigeration, Formulation;Refrigeration;Size reduction, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigerated storage (processes & receives external product);Transport, Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT, Transport",""
"PH487/01","Risk Management Programme","Custom","Yik Lung Tong (NZ) International Limited","","9429035049487","Registered","2023-07-12","","Ministry for Primary Industries - Verification Services","No","","","","","19 Horndon Street","Darfield","Selwyn District Council","1","Selwyn District Council","N/A","N/A","Animal Consumption, Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Bee products, Bivalve molluscan shellfish, Deer Co-products, Deer Velvet, Fish, Hides & Skins, Paua, Poultry, Red meat, Sea Cucumber","Drying, Drying;Grinding;Slicing, Filleting, Grinding, Gutting, Gutting;Washing;Whole, Shucking, Slicing, Washing, Whole","Blending/mixing;Boning/cutting;Collection;Drying/reduction of water activity;Formulation;Size reduction, Boning/cutting, Boning/cutting;Drying/reduction of water activity;Pharmaceutical/biological processing;Size reduction;Thermal processing other than in-container retorting/UHT;Transport, Collection, Drying/reduction of water activity, Drying/reduction of water activity;Formulation;Size reduction, Formulation, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Thermal processing other than in-container retorting/UHT, Transport",""
"PH488/01","Risk Management Programme","Custom","Tsengs Enterprises (NZ) Limited","","9429038995736","Registered","2022-10-27","","Ministry for Primary Industries - Verification Services","Yes","Voluntary Suspension","2025-05-12","2026-05-11","All operations","13 Prairie Place, Hornby","Christchurch","Christchurch City Council","1","Christchurch City Council","N/A","N/A","Animal Consumption (Petfood), Human Consumption, Not for human or animal consumption","Animal products (non-dairy), Deer Co-products, Deer Velvet, Non-AP, Red meat","Drying, Slicing","Boning/cutting;Drying/reduction of water activity;Thermal processing other than in-container retorting/UHT;Transport, Drying/reduction of water activity, Industrial Use, Labelling, Non-refrigerated storage (processes & receives external product);Packing/repacking;Refrigerated storage (processes & receives external product);Transport, Packing/repacking, Refrigerated storage (processes & receives external product), Thermal processing other than in-container retorting/UHT, Transport",""
"PH498/01","Risk Management Programme","Custom","Kisco Foods International Limited","","9429031113052","Registered","2019-09-23","","Ministry for Primary Industries - Verification Services","No","","","","","6 Vulcan Place, Middleton","Christchurch","Christchurch City Council","1","Christchurch City Council","710","N/A","Animal Consumption, Human Consumption","Bivalve molluscan shellfish, Butter, Colostrum products, Dairy fat blends, Dairy products, Fish, Frozen cream, Milk & cream based formulations, Non-AP, Ostriches & emus, Poultry, Red meat","","Blending/mixing, Concentration, Drying/reduction of water activity, Drying/reduction of water activity;Formulation;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT, Evaporation, Formulation, Formulation;Non-refrigerated storage (processes & receives external product);Refrigerated storage (processes & receives external product);Refrigeration;Thermal processing other than in-container retorting/UHT, Formulation;Refrigeration;Size reduction;Thermal processing other than in-container retorting/UHT, Labelling, Non-refrigerated storage (processes & receives external product), Packing/repacking, Refrigerated storage (processes & receives external product), Refrigeration, Salting/curing/brining, Size reduction, Thermal processing other than in-container retorting/UHT",""
"PH499/01","Risk Management Programme","Custom","Duncan Processors Limited","","9429036852130","Registered","2022-07-11","","Ministry for Primary Industries - Verification Services","No","","","","","2670 State Highway 5","Rotorua","Rotorua Lakes Council","1","Rotorua Lakes Council","N/A","N/A","Animal Consumption (Feeds), Animal Consumption (Petfood), Human Consumption","Animal products (non-dairy), Cattle, Farmed Deer, Farmed goats, Farmed gone feral deer, Farmed gone feral goats, Game estate deer, Game estate goats, Game estate tahr, Hides & Skins, Red meat, Sheep, Wild deer, Wild goats","Dressing, Dressing;Slaughter, Slaughter","Boning/cutting, Collection, Collection;Transport, Refrigerated storage (processes & receives external product), Refrigeration, Size reduction, Transport",""
